Position,Team,MP,xG,xGA,xGD,GF,GA,xG_vs_Actual
1,Manchester City FC,38,1.98,0.79,1.19,2.5,0.61,0.52
2,Liverpool FC,38,1.73,0.96,0.77,2.34,0.58,0.61
3,Chelsea FC,38,1.66,1.14,0.52,1.66,1.03,0.0
4,Manchester United FC,38,1.58,1.44,0.14,1.71,1.42,0.13
5,Tottenham Hotspur FC,38,1.53,1.35,0.18,1.76,1.03,0.23
6,Leicester City FC,38,1.51,1.32,0.19,1.34,1.26,0.08
7,Everton FC,38,1.45,1.25,0.2,1.42,1.21,-0.03
8,Arsenal FC,38,1.43,1.44,-0.01,1.92,1.34,0.49
9,Crystal Palace FC,38,1.36,1.53,-0.17,1.34,1.39,-0.02
10,Wolverhampton Wanderers FC,38,1.36,1.32,0.04,1.24,1.21,-0.12
11,Southampton FC,38,1.35,1.47,-0.12,1.18,1.71,-0.17
12,AFC Bournemouth,38,1.35,1.48,-0.13,1.47,1.84,0.12
13,West Ham United FC,38,1.35,1.55,-0.2,1.37,1.45,0.02
14,Watford FC,38,1.29,1.5,-0.21,1.37,1.55,0.08
15,Fulham FC,38,1.27,1.7,-0.43,0.89,2.13,-0.38
16,Newcastle United FC,38,1.22,1.42,-0.2,1.11,1.26,-0.11
17,Cardiff City FC,38,1.19,1.63,-0.44,0.89,1.82,-0.3
18,Huddersfield Town FC,38,1.17,1.48,-0.31,0.58,2.0,-0.59
19,Burnley FC,38,1.12,1.67,-0.55,1.18,1.79,0.06
20,Brighton & Hove Albion FC,38,1.12,1.58,-0.46,0.92,1.58,-0.2
