Team,MP,xG,xGA,xGD,GF,GA,xG vs Actual
Manchester City FC,38,2.36,0.89,1.47,2.61,0.68,0.25
Liverpool FC,38,2.29,1.08,1.21,2.47,0.68,0.18
Chelsea FC,38,1.95,1.2,0.75,2.0,0.87,0.05
Arsenal FC,38,1.86,1.41,0.45,1.61,1.26,-0.25
Manchester United FC,38,1.69,1.65,0.04,1.5,1.5,-0.19
Tottenham Hotspur FC,38,1.65,1.57,0.08,1.82,1.05,0.17
Brighton & Hove Albion FC,38,1.58,1.54,0.04,1.11,1.16,-0.47
Southampton FC,38,1.57,1.67,-0.1,1.13,1.76,-0.44
West Ham United FC,38,1.56,1.71,-0.15,1.58,1.34,0.02
Leeds United FC,38,1.55,1.88,-0.33,1.11,2.08,-0.44
Aston Villa FC,38,1.5,1.54,-0.04,1.37,1.42,-0.13
Brentford FC,38,1.47,1.71,-0.24,1.26,1.47,-0.21
Leicester City FC,38,1.46,1.81,-0.35,1.63,1.55,0.17
Everton FC,38,1.44,1.77,-0.33,1.13,1.74,-0.31
Newcastle United FC,38,1.43,1.72,-0.29,1.16,1.63,-0.27
Crystal Palace FC,38,1.41,1.51,-0.1,1.32,1.21,-0.09
Burnley FC,38,1.39,1.87,-0.48,0.89,1.39,-0.5
Wolverhampton Wanderers FC,38,1.37,1.7,-0.33,1.0,1.13,-0.37
Watford FC,38,1.31,1.85,-0.54,0.89,2.03,-0.42
Norwich City FC,38,1.23,2.04,-0.81,0.61,2.21,-0.62
